season;dis_org_nitr;dis_org_pho;salinity;temperature;hvgen;Diatomophyceae;Dinophyceae;Litostomatea;Cyanophyceae;Cryptophyceae;Chrysophyceae;Prymnesiophyceae;Copepods;Cladocerans;Synchaeta_sp
1; 1,5811440; 1,2103781;0,06128263;-0,6550798;NA;NA;NA;NA;NA;NA;NA;NA; 0,24288086;-1,29745128;-1,6990064
1; 1,2758071; 1,1848870;1,29314950;-3,4129830;NA;NA;NA;NA;NA;NA;NA;NA; 0,01769257;-1,29745128;-1,6990064
2; 0,7708282; 0,3635181;0,88758651;-1,0153341;NA;NA;NA;NA;NA;NA;NA;NA;-0,05647555;-1,29745128;-1,6990064
2;-0,7189115;-1,2707275;0,88758651;-0,7611754;NA; 1,57070401;-0,2089612;0,8159439; 0,07892206;-0,6137801;-0,3808322;-2,56635463;NA;NA;NA
2;-1,3947280;-0,3324167;0,75128998;-0,2178816;NA; 1,40833287; 0,4407071;0,6367215;-1,50394804;-0,5062953; 0,2347170;-2,56635463; 0,43543035;-0,07810242; 0,2356235
2;-1,0028462;-0,4901250;0,47700612; 0,1115014;NA; 1,24703016; 0,6136678;0,6833824;-1,50394804;-0,3496291; 0,1667759; 0,20786920;NA;NA;NA
2;-1,7238571; 0,1374270;0,75128998; 0,1828516;NA; 0,87711083; 1,5294607;1,0781602;-1,50394804;-1,4963521; 0,1975201;-0,14588443;NA;NA;NA
2;-0,3814950;-1,0062920;0,06128263; 0,2816834;NA;-0,18019653; 1,5491979;1,1126201;-1,50394804; 0,3017341; 0,3670347; 0,04596427; 0,37555309; 0,79661020; 0,5357495
3;-0,7357862;-0,6161392;0,33900942; 0,3903375;NA;-3,24143518; 0,1802770;0,6883824;-1,50394804;-0,2447348; 0,7650479; 0,37447060;NA;NA;NA
3;-1,0283134;-0,4073215;0,47700612; 0,4701915;NA; 0,08068655; 0,6980089;0,8854215; 0,47605019;-0,3914840; 0,6435441; 0,33671667; 0,84206648; 1,03146727; 1,0955342
